StartDate	EndDate	Status	Progress	Duration	Finished	RecordedDate	ResponseId	DistributionChannel	UserLanguage	time-PIS_First_Click	time-PIS_Last_Click	time-PIS_Page_Submit	time-PIS_Click_Count	time-consent_First_Click	time-consent_Last_Click	time-consent_Page_Submit	time-consent_Click_Count	Consent	time-context1_First_Click	time-context1_Last_Click	time-context1_Page_Submit	time-context1_Click_Count	time-context2_First_Click	time-context2_Last_Click	time-context2_Page_Submit	time-context2_Click_Count	time-context3_First_Click	time-context3_Last_Click	time-context3_Page_Submit	time-context3_Click_Count	time-control-report_First_Click	time-control-report_Last_Click	time-control-report_Page_Submit	time-control-report_Click_Count	time-ucd-report-p1_First_Click	time-ucd-report-p1_Last_Click	time-ucd-report-p1_Page_Submit	time-ucd-report-p1_Click_Count	time-ucd-report-p2_First_Click	time-ucd-report-p2_Last_Click	time-ucd-report-p2_Page_Submit	time-ucd-report-p2_Click_Count	time-s1_First_Click	time-s1_Last_Click	time-s1_Page_Submit	time-s1_Click_Count	subj-understanding	subj-clarity	subj-trusted	time-s2_First_Click	time-s2_Last_Click	time-s2_Page_Submit	time-s2_Click_Count	subj-next-1	subj-next-3	subj-next-2	subj-next-4	subj-next-5	time-oc-status_First_Click	time-oc-status_Last_Click	time-oc-status_Page_Submit	time-oc-status_Click_Count	oc-status-verbal	oc-status-prob	oc-status-slider_1	time-oc-child_First_Click	time-oc-child_Last_Click	time-oc-child_Page_Submit	time-oc-child_Click_Count	oc-child-verbal	oc-child-prob	oc-child-slider_1	time-oc-compare_First_Click	time-oc-compare_Last_Click	time-oc-compare_Page_Submit	time-oc-compare_Click_Count	objcomp-compare	time-oc-hard_First_Click	time-oc-hard_Last_Click	time-oc-hard_Page_Submit	time-oc-hard_Click_Count	objcomp-1000-hard	objcomp-800-hard	time-sch1_First_Click	time-sch1_Last_Click	time-sch1_Page_Submit	time-sch1_Click_Count	Scheuner-1	Scheuner-2	Scheuner-3	time-sch2_First_Click	time-sch2_Last_Click	time-sch2_Page_Submit	time-sch2_Click_Count	Scheuner-4	Scheuner-5	Scheuner-6	Scheuner-7	Scheuner-8	time-sch3_First_Click	time-sch3_Last_Click	time-sch3_Page_Submit	time-sch3_Click_Count	Scheuner-9	Scheuner-10	Scheuner-11	Scheuner-12	Scheuner-13	time-sch4_First_Click	time-sch4_Last_Click	time-sch4_Page_Submit	time-sch4_Click_Count	Scheuner-14	Scheuner-15	Scheuner-16	Scheuner-17	Scheuner-18	time-limitations_First_Click	time-limitations_Last_Click	time-limitations_Page_Submit	time-limitations_Click_Count	limitations	time-noticed_First_Click	time-noticed_Last_Click	time-noticed_Page_Submit	time-noticed_Click_Count	Result-Noticed	Result-Understood	time-snumeracy_First_Click	time-snumeracy_Last_Click	time-snumeracy_Page_Submit	time-snumeracy_Click_Count	SNumeracy-1	SNumeracy-2	SNumeracy-3	SNumeracy-4	SNumeracy-5	SNumeracy-6	SNumeracy-7	SNumeracy-8	time-priorexp1_First_Click	time-priorexp1_Last_Click	time-priorexp1_Page_Submit	time-priorexp1_Click_Count	CF-Experience	CF-Experience-Detail	time-priorexp2_First_Click	time-priorexp2_Last_Click	time-priorexp2_Page_Submit	time-priorexp2_Click_Count	time-demo1_First_Click	time-demo1_Last_Click	time-demo1_Page_Submit	time-demo1_Click_Count	Age	Gender	Gender-Other	Combined-Income	Adults-in-House	Children-in-House	Education	time-demo2_First_Click	time-demo2_Last_Click	time-demo2_Page_Submit	time-demo2_Click_Count	comments	Design	TestResult	OCStatusAbsoluteTime	OCChildAbsoluteTime	OCCompareAbsoluteTime	status-is-nearly-correct	child-is-nearly-correct	hard1000-is-nearly-correct	hard800-is-nearly-correct	Scheuner-14-Value	Scheuner-15-Value	Scheuner-16-Value	Scheuner-17-Value	Scheuner-18-Value	Result-Understood-Value	Gender-Value	Adults-in-House-Value	Children-in-House-Value	income-lower-bound	CF-Experience-Value	status-slider-is-nearly-correct	child-slider-is-nearly-correct	oc-score	communication-efficacy	subjective-numeracy	status-before-child	status-before-compare	child-before-compare	Result-Noticed-Binary	Next-Steps-Average	oc-compare-is-correct	oc-status-verbalj-correct	oc-child-verbalj-correct	time-reading-report	slider-compare-implication	concordance-with-slider-values
01/02/2019 08:18	01/02/2019 08:26	0	100	460	1	01/02/2019 08:26	R_9YSLn3NPApgbLnb	anonymous	EN	0	0	7.104	0	1.771	6.41	7.464	10	1,2,3,4,5,6,7	0	0	20.88	0	0	0	8.392	0	0	0	12.862	0	3.087	24.098	24.549	2									27.813	30.847	31.37	4	5	5	6	9.064	24.601	24.983	8	5	5	6	5	5	5.922	35.1	35.707	3	4	100%	100	4.174	19.961	28.293	3	3	25%	25	18.604	18.604	20.098	1	4	17.314	28.502	34.61	4	250	200	9.078	11.143	12.118	4	3	3	3	3.069	29.323	29.564	9	3	3	2	3	3	4.268	27.291	28.453	15	3	3	2	3	2	12.698	34.656	35.32	9	3	4	4	4	3	16.102	16.102	21.178	1	contaminations	4.555	9.357	10.097	2	1	8	3.959	19.203	19.648	11	5	5	5	5	5	5	2	5	1.389	1.389	2.095	1	2						1.075	5.284	6.111	3	30	4		6	5	4	5	1.413	10.862	11.134	12		Control	Positive	2019-02-01T08:21:46-07:00	2019-02-01T08:20:57-07:00	2019-02-01T08:21:26-07:00	y	y	y	y	2	3	3	3	2	7	Male	2	1	41	No	y	y	7	2.72222222222222	5	0	0	1	1	5.2	y	y	n	24.549	4	1
01/02/2019 08:18	01/02/2019 08:26	0	100	507	1	01/02/2019 08:26	R_sA9klG1I1rqNlp7	anonymous	EN	0	0	27.79	0	16.986	22.133	23.236	8	1,2,3,4,5,6,7	0	0	11.575	0	0	0	6.884	0	0	0	12.281	0	0	0	36.666	0									5.624	7.797	8.746	4	5	5	7	4.999	15.459	16.432	7	2	3	2	4	4	2.224	24.403	25.439	4	2	0.50%	0	7.778	38.191	39.081	7	2	1%	1	5.421	5.421	6.071	1	4	6.968	17.206	22.536	2	1	1	3.928	7.459	8.173	5	3	3	3	2.533	17.731	18.652	6	4	1	3	4	4	1.841	13.72	14.667	7	4	4	1	1	2	6.64	18.31	19.099	9	2	4	2	3	2	9.025	9.025	41.731	1	Lack of a definite answer, i.e. C.F could still be present even though the chance is low.	2.515	5.596	6.419	3	1	8	4.127	23.252	23.781	12	5	6	5	5	4	6	1	6	1.2	1.694	2.417	2	2						1.427	7.59	9.509	6	18	7		8	6	5	2	1.036	18.305	19.239	15		Control	Negative	2019-02-01T08:22:53-07:00	2019-02-01T08:21:29-07:00	2019-02-01T08:23:19-07:00	y	y	y	y	1	3	1	2	1	7		3	2	61	No	y	y	7	2.5	5.375	0	1	1	1	3	y	y	y	36.666	5	0
01/02/2019 08:19	01/02/2019 08:28	0	100	541	1	01/02/2019 08:28	R_8vr7TCaInXeueo9	anonymous	EN	1.273	13.063	14.301	10	3.106	15.129	17.21	19	1,2,3,4,5,6,7	3.391	10.554	11.27	4	1.95	5.922	10.828	2	17.658	18.286	18.317	2					2.472	12.591	54.091	7	1.251	17.331	17.959	2	1.552	16.701	17.301	16	5	6	6	1.662	39.128	39.751	33	5	4	5	5	5	3.104	17.737	18.407	12	2	0.319444444	4	1.051	26.179	26.25	15	2	5	5	1.189	20.553	21.268	5	5	1.938	35.268	37.172	14	2	4	3.412	11.134	12.633	14	2	2	3	1.394	15.747	19.17	20	3	3	4	3	3	1.024	20.524	21.238	22	3	3	3	3	3	1.986	11.656	12.489	19	5	4	4	4	4	13.029	27.794	28.2	5	Accuracy 	1.132	12.004	12.042	16	3	5	2.105	47.407	47.922	48	5	4	5	5	5	6	1	5	1.51	1.52	1.998	2	2						1.938	3.202	5.509	4	20	5		5	6	5	3	1.737	13.913	16.892	11		UCD	Negative	2019-02-01T08:24:06-07:00	2019-02-01T08:23:14-07:00	2019-02-01T08:22:52-07:00	y	n	y	y	4	3	3	3	3	4	Female	3	2	21	No	n	n	3	3	5.125	0	0	0	0	4.8	n	y	y	54.091	5	1
01/02/2019 08:20	01/02/2019 08:28	0	100	488	1	01/02/2019 08:28	R_21EUIfYmGe39jBv	anonymous	EN	0	0	36.678	0	4.794	18.109	19.602	7	1,2,3,4,5,6,7	0	0	23.562	0	0	0	14.268	0	0	0	22.724	0					0	0	47.03	0	0	0	20.462	0	4.014	9.348	10.03	3	6	7	7	6.818	25.671	26.437	5	4	3	3	4	3	3.837	10.558	11.229	5	4	100%	100	8.167	24.572	29.637	5	2	25%	25	8.736	10.062	12.15	2	4	11.571	19.117	19.863	4	250	200	3.107	6.827	7.666	3	4	4	4	3.289	12.89	13.515	6	4	2	4	4	4	2.811	18.585	19.281	5	4	3	2	3	3	5.754	24.5	25.399	12	3	4	5	4	2	4.076	4.076	54.528	1	Data anomalies/inaccuracies.	2.753	4.506	5.114	3	1	8	3.165	23.654	24.437	10	6	6	6	6	5	6	1	6	1.783	1.783	2.541	1	2						1.23	4.1	4.889	4	24	4		11	7	4	4	1.374	11.822	12.772	10		UCD	Positive	2019-02-01T08:25:06-07:00	2019-02-01T08:24:24-07:00	2019-02-01T08:24:54-07:00	y	y	y	y	2	3	4	3	1	7	Male	4	3	91	No	y	y	7	3.22222222222222	5.875	0	0	1	1	3.4	y	y	y	47.03	4	1
01/02/2019 08:19	01/02/2019 08:29	0	100	579	1	01/02/2019 08:29	R_8dnJKaXrgaTu7qV	anonymous	EN	0	0	67.447	0	3.276	14.309	16.009	7	1,2,3,4,5,6,7	0	0	31.043	0	0	0	10.693	0	0	0	14.067	0	0	0	112.326	0									4.759	9.364	11.037	3	5	5	7	4.719	17.777	19.195	6	7	7	7	7	6	4.703	20.198	21.48	3	4	100%	100	4.005	13.237	14.828	3	3	25%	25	8.272	8.272	10.248	1	4	15.662	27.215	37.789	4	250	200	6.698	11.955	13.088	4	3	4	3	3.286	19.181	23.299	6	4	3	2	3	3	4.03	17.816	18.799	6	3	3	3	3	4	8.958	32.698	33.958	5	5	5	3	5	2	6.046	6.046	30.254	1	I don't know	4.143	11.951	13.288	2	1	6	2.793	31.883	32.946	8	4	4	4	4	5	6	1	6	2.522	2.522	4.4	1	2						1.92	4.933	7.214	3	24	5		3	5	4	3	1.582	11.743	13.151	8		Control	Positive	2019-02-01T08:24:19-07:00	2019-02-01T08:24:41-07:00	2019-02-01T08:24:56-07:00	y	y	y	y	4	4	2	4	1	5	Female	2	1	31	No	y	y	7	3.11111111111111	4.875	1	1	1	1	6.8	y	y	n	112.326	4	1
01/02/2019 08:19	01/02/2019 08:30	0	100	638	1	01/02/2019 08:30	R_3iOnHPyYAC4Kf8V	anonymous	EN	0	0	11.448	0	1.984	8.753	11.003	8	1,2,3,4,5,6,7	0	0	12.147	0	0	0	13.046	0	0	0	9.002	0					0	0	45.748	0	0	0	10.502	0	11.547	38.483	39.927	3	5	4	4	23.326	48.075	50.095	6	6	4	4	5	4	44.07	74.417	76.717	4	3	very likely that he is a carrier	100	5.041	21.582	23.553	4	3	50	50	8.211	8.211	10.498	1	4	8.05	19.557	23.157	2	500	400	3.551	9.573	11.123	4	3	3	3	10.914	28.182	30.156	7	3	1	3	1	1	2.757	14.256	15.436	5	3	3	3	3	3	8.47	21.941	23.621	7	4	3	3	3	3	6.282	6.282	14.19	1	dont know	4.777	11.249	12.526	4	1	7	3.352	31.594	32.956	11	1	3	1	3	5	1	6	5	2.196	2.196	3.848	1	2						2.695	7.863	9.254	3	18	5		1	5	4	3	1.866	12.873	14.291	10		UCD	Positive	2019-02-01T08:24:06-07:00	2019-02-01T08:25:49-07:00	2019-02-01T08:25:38-07:00	x	n	n	n	3	2	2	2	2	6	Female	2	1	0	No	y	n	2	2.44444444444444	2.5	1	1	0	1	4.6	y	n	n	45.748	4	1
01/02/2019 08:25	01/02/2019 08:32	0	100	443	1	01/02/2019 08:32	R_2WJs8wOOTq0XgpQ	anonymous	EN	2.007	10.478	11.527	8	1.36	8.494	8.96	19	1,2,3,4,5,6,7	1.4	11.584	13.352	12	2.05	4.2	17.939	2	2.008	3.906	13.825	2	3.771	14.425	14.922	2									2.585	12.065	12.655	17	5	5	4	1.563	18.33	18.949	27	3	2	2	3	3	3.383	22.89	23.649	14	2	30	30	3.584	29.943	30.872	12	2	1	0	1.574	10.956	12.304	8	4	1.374	30.144	32.158	14	1.25	1	4.195	50.031	50.804	16	2	3	3	1.417	25.502	26.224	21	3	3	3	2	2	4.169	18.404	18.909	29	2	2	2	2	3	1.073	16.422	17.095	22	2	2	3	4	2	6.509	11.462	22.587	3	Donâ€™t know but I think there can be some we arenâ€™t aware of	1.197	13.935	14.534	13	3	4	1.192	41.178	41.768	58	5	6	5	4	5	6	1	5	1.607	1.615	2.219	2	2						1.822	3.299	5.347	4	20	4		8	8	4	4	1.482	12.319	16.06	10		Control	Negative	2019-02-01T08:27:01-07:00	2019-02-01T08:27:38-07:00	2019-02-01T08:27:25-07:00	n	y	y	y	1	1	2	3	1	3	Male	5	4	61	No	n	y	5	2.22222222222222	5.25	1	1	0	0	2.6	y	y	y	14.922	4	1
01/02/2019 08:27	01/02/2019 08:33	0	100	329	1	01/02/2019 08:33	R_2D6wPz4lFJC3SFS	anonymous	EN	0	0	1.77	0	1.655	4.666	5.56	8	1,2,3,4,5,6,7	0	0	11.658	0	0	0	9.169	0	0	0	8.565	0					0	0	16.693	0	0	0	27.256	0	1.99	6.326	6.942	4	7	6	7	2.723	13.069	13.668	6	7	7	7	7	7	2.667	11.276	13.049	3	4	100	100	4.017	14.956	15.798	3	2	25	25	9.533	9.533	10.849	1	4	11.032	15.165	21.229	2	250	200	3.269	6.2	6.83	3	3	4	4	1.521	10.665	11.313	6	3	4	4	4	4	2.681	13.606	14.246	7	4	4	3	3	3	3.365	20.506	21.153	10	5	5	3	5	2	6.166	6.166	35.167	1	In theory I'd expect validity claims, and statistical proof, but I assume this is beyond the scope for an NHS test	3.047	5.078	5.682	2	1	8	1.554	21.708	22.187	10	6	6	6	6	6	6	1	6	1.989	1.989	2.68	1	2						1.467	2.984	4.261	2	25	4		3	5	4	5	1.765	9.162	11.605	4	Is it relevant that I have a MSc in Genetics?	UCD	Positive	2019-02-01T08:29:55-07:00	2019-02-01T08:30:08-07:00	2019-02-01T08:29:43-07:00	y	y	y	y	4	4	2	4	1	7	Male	2	1	31	No	y	y	7	3.44444444444444	6	1	0	0	1	7	y	y	y	16.693	4	1
01/02/2019 08:23	01/02/2019 08:33	0	100	605	1	01/02/2019 08:33	R_265Oq7asAyQnl56	anonymous	EN	8.987	8.987	10.241	1	3.013	10.763	13.731	8	1,2,3,4,5,6,7	8.467	8.467	26.307	1	0	0	13.065	0	11.64	12.514	17.382	2	5.204	64.191	65.552	11									6.095	15.454	16.09	8	4	4	7	5.083	55.231	56.215	13	5	5	6	3	5	5.411	26.671	28.063	8	2	0.20%	0	28.889	56.373	59.506	8	2	0.80%	0	5.492	13.849	15.136	3	4	4.968	20.977	22.262	9	8	1	4.676	11.23	12.211	6	2	2	3	6.045	19.905	21.276	12	3	2	1	1	2	10.085	29.991	30.492	12	2	3	3	2	2	9.994	31.097	32.259	14	3	3	3	3	2	7.828	7.828	41.957	1	It may only be able to test for certain things, a limited number of things rathre than being able to test for every possibility	4.869	12.787	13.933	5	1	6	3.398	44.311	45.093	18	3	5	6	6	3	6	1	6	2.412	3.682	5.255	2	2						2.168	6.455	7.781	3	28	5		6	5	4	4	2.7	14.806	15.582	11		Control	Negative	2019-02-01T08:28:36-07:00	2019-02-01T08:27:36-07:00	2019-02-01T08:27:20-07:00	y	y	y	y	2	2	2	2	1	5	Female	2	1	41	No	y	y	7	2.05555555555556	5.125	0	0	0	1	4.8	y	y	y	65.552	6	0
01/02/2019 08:24	01/02/2019 08:35	0	100	658	1	01/02/2019 08:35	R_2VQS5T3afFS7czb	anonymous	EN	0	0	39.823	0	7.015	14.087	16.362	7	1,2,3,4,5,6,7	37.046	37.046	39.411	1	0	0	15.491	0	0	0	17.347	0	0	0	56.581	0									4.1	12.434	13.369	4	7	7	7	7.101	41.301	43.588	8	4	7	6	3	3	5.707	25.533	26.699	6	1	less than 1 in 200	1	9.017	39.859	41.062	3	2	less than 1 in 800	1	13.291	19.382	25.286	2	4	18.6	55.235	57.212	2	1	1	5.828	11.501	12.585	3	3	3	3	3.734	18.48	19.474	5	4	3	2	4	4	6.17	23.754	25.315	5	4	4	3	3	3	11.349	37.221	38.273	7	5	5	5	4	3	11.357	11.357	15.481	1	Don't know.	7.575	11.601	15.301	3	1	8	4.662	42.666	43.782	11	4	4	4	5	5	2	2	3	2.4	2.4	3.73	1	2						2.411	5.509	6.506	3	34	5		1	5	4	4	1.394	11.463	12.442	8		Control	Negative	2019-02-01T08:29:22-07:00	2019-02-01T08:28:41-07:00	2019-02-01T08:30:00-07:00	y	y	y	y	4	4	4	3	2	7	Female	2	1	0	No	y	y	7	3.33333333333333	4	0	1	1	1	4.6	y	n	y	56.581	6	0
